AlbumId,AlbumMusic,AlbumName,AlbumTitle,AlbumSubtitle,Platform,Language,AlbumCard,CardColor1,CardColorBG,FontColorTitle,FontColorSub,,
专辑唯一标识,专辑歌曲（歌曲MID用|分隔）,专辑名（Tid）,专辑标题（Tid）,专题副标题（Tid）,用|分隔（1=安卓GP|2=安卓国内|3=IOS）填写屏蔽的平台,禁用的语言(用|分割表示或)             英语:1 中国:2 中国台湾:3 德国:4 法语:5 荷兰:6 挪威:7 葡萄牙:8 土耳其:9 西班牙:10 意大利:11 阿拉伯:12 韩语:13 日语:14 俄语:15,对应专辑卡片,卡片色调,卡片背板色调,卡片字色,卡片字色,备注,
100066,110019|110072|110037|110066|110064|110028|110002|110015|110061|110025|110040|110033|110023|110014|110003|110053|110059|110001|110069|110039|110036|110055|110018|110004|110058|110029|110034|110038|110031|110035|110063|110068|110032|110017|110013|110030|110005|110026|110057|110008|110009|110027|110060|110074|110006|110044|110016|110022|110010|110024|110065|110021|110079|110011|110012|110056|110075|120019|120042|120005|120023|120021|120007|120011|120046|120002|120012|120013|120008|120010|120034|120009|120004|120022|120031|120030|120029|120024|120003|120006|120044|120045|120016|120032|120033|120035|120036|120014|120037|120038|120039|120040|120043|120027|120026|120020|120015|120041|120047|120048|120049|120050|120060|120061|120062|120063|120064|120068|120069|120070|120071|120074|120077|120072|120078|120076|120079|120080|120081|120083|120084|120089|120091|120092|120095|120093|120087|120094|120098|120100,album_newyear2018,album_newyear2018_subtitle,,,,3,#FFFFFF,#00fafc,#395D73,#96B3C5,Beepy's,
100064,100001|110041|110042|110051|110052|106005|110043|110045|105011|105006|110054|110062|105007|105010|106008|106001|105008|105009|105003|105004|105002|106006|106007|106003|106009|106010|106011|106012|106013|120065|120066|120067|120075|120073|120082|120085|120086|120090,album_autumn,album_autumn_subtitle,,,,2,#FFFFFF,#ffffff,#395D72,#96B3C4,TheSouth's,
100048,130036|130037|130038|130026|130035|130041|130039|130028|130023|130030|130031|130047|130016|130022|130021|130033|130044|130040|130008|130032|130020|130012|130024|130027|130017|130011|130029|130043|130048|130045|130019|130025|130042|130034|130018|130013|130010|130014|130009|130046|990305|130004|130007|170029|130006|130005|910329|170001|130002|130003|130001|130015|170101|170036,album_kuaikuaikuai2,album_kuaikuaikuaimiaoshu,,,,18,#FFFFFF,#ffffff,#395D73,#96B3C5,adem1nt,
100049,120007|120077|120084|120100,album_relaxingtime,album_relaxingtime_subtitle,,,,15,#FFFFFF,#4e1219,#395D73,#96B3C5,Touhou,
100055,120004|120022|120031|120036|120040|110037|120030|120060|120072|120076|120081|120089|120092|120095|120093|120085|120098,album_popmusic,album_popmusic_subtitle,,,,10,#FFFFFF,#ffffff,#395D72,#96B3C4,Meme,
100060,110057|130048|110074|130042|110021|110079|130010|110012|130014|130009|120011|120008|120030|130003|130015|170101,album_beethoven2,album_beethoven2_subtitle,,,,1,#FFFFFF,#ffeeb4,#395D73,#96B3C5,Legendary,
100021,110056|106008|110075|130046|120100|170036,album_newgameplay,album_newgameplay_subtitle1,,,,9,#FFFFFF,#093e98,#395D73,#96B3C5,impossible,
100057,105009|105003|105004|105002|120086,album_Original,album_Original_subtitle,,,,6,#FFFFFF,#060606,#395D73,#96B3C5,AlanWalker,1
100056,106009|106010|106011|106012|106013|120074|120075|120082,album_world3,album_world3_subtitle1,,,,11,#FFFFFF,#ffee4a,#395D73,#96B3C5,DancingLine,
100040,110019|110002|110001|110057|110066|110061|110059|110069|110062|110063|120024|120026|120050,album_love2017,album_love2017_subtitle,,,,19,#FFFFFF,#a6ecfc,#395D73,#96B3C5,Valentines,
100005,110058|130011|110008|110009|110027|105007,album_chopin1,album_chopin1 _subtitle1,album_chopin1_subtitle2,,,7,#FFFFFF,#baaa71,#395D73,#96B3C5,Chopin,
100062,130026|130041|130039|130028|130023|130030|130031|130016|130022|130021|110055|110004|130033|130044|130040|130032|130020|130012|130024|130027|110032|130017|130029|130043|110057|110074|130045|130019|130025|130042|110022|130034|130018|110079|110012|110056,album_student,album_student_subtitle,,,,5,#FFFFFF,#060606,#395D73,#96B3C5,Liszt,
100035,130047|110018|130008|130048|130013|130014,album_wonderfulworld,album_wonderfulworld_subtitle,,,,17,#FFFFFF,#000000,#395D68,#96B3C0,Alkan,
100052,120037|120038|120039|120040|120043,album_world2,album_world2_subtitle1,,,,13,#FFFFFF,#0069a5,#395D70,#96B3C2,Sonic,
100054,120002|120012|120013|120008|120010,album_dance2,album_dance2_subtitle,,,,16,#FFFFFF,#1c47b8,#395D71,#96B3C3,SuperMario,
