,说明,,,TID,CN,TW,EN,ES,RU,PO,DE,KR,JP,FR,IT,AR,TR,IN,,
,,,,font_size,0.8,0.8,1,0.76,0.76,0.8,0.7,,0.8,0.75,,0.76,,,,
,,,,,简体中文,繁体中文,英语,西语,俄语,葡语,德语,韩语,日语,法语,意语,阿语,土语,印尼语,,
游戏名称,piano tiles 2,,,,钢琴块2,鋼琴塊2,Piano Tiles 2,Piano Tiles 2 ,Плитки фортепиано 2,Piano Tiles 2,Piano Tiles 2,피아노 타일 2,ピアノタイル 2,Piano Tiles 2,Piano Tiles 2,بيانو تايلز 2,,,,
url_halloween,home,,,text_home,首页,首頁,Home,Página Inicial,Домой,Página inicial,Hauptmenü,홈,ホーム,Accueil,Pagina iniziale,الرئيسية,Ana Sayfa,Utama,,
,music,,,text_music,Songs,Songs,Songs,Songs,Songs,Songs,Songs,Songs,Songs,Songs,Songs,Songs,Songs,Songs,,
,hall,,,text_hall,UC's,UC's,UC's,UC's,UC's,UC's,UC's,UC's,UC's,UC's,UC's,UC's,UC's,UC's,,
,setting,,,text_setting,设置,設置,Settings,Ajustes,Настройки,Configurações,Einstellungen,설정,設定,Paramètres,Opzioni,إعدادات,Ayarlar,Pengaturan,,ok
,等级tag,,,text_level,Classical,Classical,Classical,Classical,Classical,Classical,Classical,Classical,Classical,Classical,Classical,Classical,Classical,Classical,,
,购买tag,,,text_selection,Modern,Modern,Modern,Modern,Modern,Modern,Modern,Modern,Modern,Modern,Modern,Modern,Modern,Modern,,
,收藏tag,,,text_favorites,收藏,收藏,Favorites,Favoritas,Избранное,Favoritos,Favoriten,좋아,収集,Favoris,collezione,المفضلة,Favoriler,Favorit,,
,更多专辑-下拉引导文案,,,more_album,更多专辑敬请期待...,更多專輯敬請期待...,More albums to be expected…,Sigue pendiente de más álbumes...,Новые альбомы скоро...,"Por favor, aguarde por mais álbuns...",Mehr Alben kommen bald...,더 많은 앨범 곧 나올 거예요...,より多くのアルバムを楽しんで...,Plus d'albums à venir...,più selezioni da aspettare...,تتفضل بانتظار الاكثر من البوم,Daha fazla albüm yakında…,Lebih banyak album harap ditunggu,,
,未收藏状态toast文案-游客,,,favorites_des1,当前没有收藏任何歌曲哦,當前沒有收藏任何歌曲哦,No favorite songs yet,Sin ninguna canción favorita,Нет сохранненых песен,Ainda não adicionou nada em favoritos,Keine Favoriten-Lieder,아직 좋아하는 노래가 없습니다,お気に入りの中で今は何もないよ,Aucun morceau favori,Non hai ancora raccolto nessuna canzone,لا توجد اى اغنية مفضلة,Şimdi favori şarkınız yoktur,Sekarang tiada lagu yang disimpan,,
,未收藏状态toast文案-FB用户,,,favorites_des2,登录可以找回收藏歌曲哦,登錄可以找回收藏歌曲哦,Regain your favourite songs by logging in FB,Ingresar en FB y recuperarlas,Через FB песни можно вернуть,Faça login para recuperar dados em favoritos,"FB anmelden, um Lieder zurück zu finden",로그인로 데이터 연동 시킬 수 있습니다,早く登録して好きな曲を収集しろう！,Connectez-vous pour retrouver les favoris,Recupera canzoni in collezione con login FB,استرداد اغنية مفضلة اذا تسجيل دخول,Favoriler için facebook ile giriş yapın,Login untuk mencari lagu yang disimpan,,
,结果页收藏条-未收藏状态,,,favorites_text1,收藏这首歌曲,收藏這首歌曲,Add to my favorites,Guardarla,Сохранить песню,"Coloque em ""Favoritos""",favorisiere das Lied,뮤직 저장하기,この曲を収集する,Favoris,Aggiungila ai favoriti,إدراج الأغنية إلى علامة المفضلة,Favorilere ekle,Pesan favorit,,
,结果页收藏条-点击收藏成功状态,,,favorites_text2,收藏成功！,收藏成功！,Added!,¡Guardada!,Успешно сохранено! ,Com sucesso!,Erfolgreich favorisiert!,저장 완료,収集成功！,Favori ajouté!,Aggiungi successo!,الإدراج إلى علامة المفضلة بنجاح!,Başarıyla eklendi!,Berhasil disimpan! ,,
,,,,favorites_text3,收藏的歌曲可以创建歌单啦,收藏的歌曲可以創建歌單啦,Collected songs can be created playlist,"¡Puedes guardar tus favoritas!",Из сохраненных песен составьте плейлисты,"Crie a lista com músicas em ""Favoritos""",Mit Liedersammlung Playlist erstellen,좋아'한 음악은 리스트를 작성할 수 있어요,お気に入りの曲をプレイリストに入れよう,Playlist à créer avec les favoris,Crea la lista mettendo canzoni a favorito,يمكنك إنشاء قائمة الأغاني بعد حفظ الأغاني!,Eklenen şarkı ile liste yaratabilirsin,Lagu disimpan bisa membuat daftar lagu,,
,收藏引导,,,favorites_guide_title,有趣的新功能,有趣的新功能,Brand new funtion,¡Nueva función!,Новая веселая функция,Nova opção divertida,Neue Funktion,재미있는 신기능,面白い新機能,Nouvelle fonction ,Nuova funzione,وظيفة ممتعة جديدة,Yeni özellikler,Fitur baru yang seru,,
,,,,favorites_guide_content,你可以收藏喜欢的歌曲啦！,你可以收藏喜歡的歌曲啦!,Save your favorite songs!,¡Puedes guardar tus canciones favoritas!,Ты можешь сохранять понравившиеся песни!,"Pode colocar músicas em ""Favoritos""!",Du kannst deine Lieblings-Lieder sammeln!,좋아하는 노래를 저장합시다!,お気に入り機能が追加されました！,Enregistrez vos morceaux préférés!,Puoi aggiungere ai Favoriti le canzoni!,تستطيع أن تحفظ الأغاني المفضلة!,Sevdiğiniz şarkıyı favorilere ekleyin!,Pesan favorit lagu yang disukai!,,
,,,,favorites_guide_button,体验,體驗,Try now,Probar,Начать,Tentar,Erfahren,해보기,体験,Essayer,Prova,تجريب,Deneyim,Coba,,
,,,,favorites_guide_1content,点击收藏你喜欢的歌曲,點擊收藏你喜歡的歌曲,Click to add songs to favorites,Tocar para guardar tus canciones favoritas,"Нажми, чтобы сохранить понравившуюся песню",Clique aqui para coletar as suas músicas favoritas do jogo,"Klicke, um deine Lieblings-Lieder zu favorisieren",클릭하여 음악을 저장합니다,クリックして曲をお気に入り登録,Cliquez et ajoutez vos chansons dans favoris,Clicca ad aggiungere ai Favoriti,"أنقر على زر ""قلب"" لحفظ الأغاني المفضلة",Sevdiğiniz şarkı tıkla ve listeye ekle,Klik untuk pesan favorit lagu yang Anda sukai,,
,,,,favorites_guide_1button,下一步,下一步,Next step,Siguiente,Дальше,Próximo,weiter,다음,次に,Suivant,Avanti,خطوة تالية,Sonraki,Berikutnya,,
,,,,favorites_guide_2content,查看已收藏歌曲,查看已收藏歌曲,Review your favorite songs,Ver las favoritas guardadas,Смотреть сохраненные песни,Verifique as suas músicas favoritas do jogo,Favorisierte Lieder nachsehen,저장된 음악을 확인합니다,お気に入りをチェックする,Consulter les chansons favorites ,Vedi i Favoriti,مراجعة الأغاني في علامة المفضلة,Favoriler'e eklenen şarkı inceleyin,Melihat lagu yang sudah disimpan,,
,,,,favorites_guide_2button,完成,完成,Finished,Hecho,Готово,Concluído,Fertig,완료,完了,Terminé,Finito,إكمال,Bitir,OK,,
,专属歌单,卡片,有收藏行为,favorites_guide_diy_content,你可以创建专属歌单啦,你可以創建專屬歌單啦,you can create your own playlist,Crea tu álbum exclusivo,Создайте личный плейлист,Criar a lista de musicas,Deine Playlist erstellen,플레이리스트 작성하기,マイプレイリスト,Créer votre playlist exclu,"Crea la tua lista canzoni",إنشاء قائمة الأغاني الخاصة,Şarkı listesini oluştur,Ciptakan daftar lagu Sendiri,,
,,,创建歌单卡片首次秀出玩家未创建过歌单（待编辑状态）-主标题,favorites_diy_txt,创建你的专属歌单,創建你的專屬歌單,Create exclusive song list,Crea tu álbum exclusivo,Создайте плейлист,Criar a lista de musicas,Deine Playlist erstellen,플레이리스트 작성하기,プレイリストを作成する,Créer votre playlist exclu,Crea la tua lista canzoni,إنشاء قائمة الأغاني الخاصة,Özel şarkı listesini yarat,Ciptakan album khusus Anda,,
,,,创建歌单卡片首次秀出玩家未创建过歌单（待编辑状态）-副标题,favorites_diy_txt14,收藏的歌曲还能这样子玩！,收藏歌曲還能這樣子玩,Collected songs can be created playlist,Ya se puede crear álbum con las favoritas,Из сохраненных песен составьте плейлисты,"Crie a lista com músicas em ""Favoritos""",Mit Liedersammlung Playlist erstellen,좋아'한 음악은 리스트를 작성할 수 있어요,お気に入りの曲をプレイリストに入れよう,Playlist à créer avec les favoris,Crea la lista mettendo canzoni a favorito,يمكنك إنشاء قائمة الأغاني بعد حفظ الأغاني,Eklenen şarkı ile liste yaratabilirsin,Lagu disimpan bisa membuat daftar lagu,,
,,,收藏歌曲<3  引导卡片    文案,favorites_diy_txt1,收藏3首歌曲就可以创建歌单,收藏3首歌曲就可以創建歌單,Collection of 3 songs allows creating a playlist,Crea el álbum con 3 canciones favoritas,Сохраните 3 песни для создания плейлиста,"Pode criar a lista com 3 músicas em ""Favoritos""",Mit 3+ gesammelten Liedern ist Playlist zu erstellen,3곡을 '좋아'하면 바로 플레이리스트 작성할 수 있습니다,3曲以上をお気に入り登録するとプレイリストを作成できる,3 morceaux au favori pour créer le playlist,Si crea la lista canzoni con 3 canzoni a favorito,تم إنشاء قائمة الأغاني بعد حفظ 3 أغاني,3 şarkı favorilere eklersen listeyi oluşturabilirsiniz,Simpan 3 lagu langsung bisa ciptakan daftar lagu,,
,,,收藏歌曲<3  引导卡片    按钮,favorites_diy_btn1,去收藏,去收藏,Collect,A guardar,Выбрать,Favoritos,Sammeln,좋아 추가,曲を登録,Ajouter,Aggiungi,حفظ أغاني,Ekle,Simpan,,
,,,收藏歌曲>=3  引导卡片,favorites_diy_txt2,我的第一个专属歌单！,我的第一個專屬歌單,Your first playlist,Tu primer álbum exclusivo,Ваш первый пейлист,Sua 1ª lista de músicas,Deine erste Playlist,나의 첫번째 플레이리스트,最初のプレイリスト,Votre 1er playlist,La tua prima lista canzoni,قائمة الأغاني الأولى لك,Birinci özel şarkı listesi,Daftar lagu Pertama Anda,,
,,,创建歌单卡片非首次秀出有创建过歌单（编辑状态）-主标题,favorites_diy_txt3,自定义选歌曲,自定義選歌曲,Select songs by yourself,Canciones a tu gusto,Ручной выбор песен,Selecione músicas,Individuell auswählen,커스텀 선곡,カスタマイズ,Personnaliser la musique,Selezioni personalizzate,اختيار الأغاني بنفسك,Özelleştirilmiş seçim,Pilih lagu Sendiri,,
,,,创建歌单卡片非首次秀出有创建过歌单（编辑状态）-副标题,favorites_diy_txt13,试试不同的歌曲组合,試試不同的歌曲組合,Try different songs sets,Haz diferente mezcla,Сочетания разных песен,Tente outras combinações,Vielfältige Playlisten,색다른 음악조합을 해봅시다,いろんな組合せができる,Grouper les morceaux,Prova diversa combinazione,تجريب ترتيب الأغاني المختلف,İçinde bol bol sürpriz var,Enjoy kumpulan lagu berbeda,,
,,,创建歌单卡片非首次秀出有创建过歌单（待编辑状态）-主标题,favorites_diy_txt12,丰富歌单内容,豐富歌單內容,Enrich playlist content,Enriquece el álbum,Обогатите плейлист,Enriquecer contéudo,Playlist bereichern,플레이리스트 음악 추가,バラエティ豊かな曲リスト,Enrichir le playlist,Arricchisci la lista,توفير محتويات القائمة,İçeriğini zenginleştir,Memperkaya isi daftar lagu,,
