,TID,CN,TW,EN,ES,RU,PO,DE,KR,JP,FR,IT,AR,TR,IN,
1,Canon in A,Canon in A,Canon in A,Canon in A,Canon in A,Canon in A,Canon in A,Canon in A,Canon in A,Canon in A,Canon in A,Canon in A,Canon in A,Canon in A,Canon in A,
2,Canon in B,Canon in B,Canon in B,Canon in B,Canon in B,Canon in B,Canon in B,Canon in B,Canon in B,Canon in B,Canon in B,Canon in B,Canon in B,Canon in B,Canon in B,
3,Canon in C,Canon in C,Canon in C,Canon in C,Canon in C,Canon in C,Canon in C,Canon in C,Canon in C,Canon in C,Canon in C,Canon in C,Canon in C,Canon in C,Canon in C,
4,Comptine d'un autre ete,Comptine d'un autre ete,Comptine d'un autre ete,Comptine d'un autre ete,Comptine d'un autre ete,Comptine d'un autre ete,Comptine d'un autre ete,Comptine d'un autre ete,Comptine d'un autre ete,Comptine d'un autre ete,Comptine d'un autre ete,Comptine d'un autre ete,Comptine d'un autre ete,Comptine d'un autre ete,Comptine d'un autre ete,
5,El Condor Pasa,El Condor Pasa,El Condor Pasa,El Condor Pasa,El Condor Pasa,El Condor Pasa,El Condor Pasa,El Condor Pasa,El Condor Pasa,El Condor Pasa,El Condor Pasa,El Condor Pasa,El Condor Pasa,El Condor Pasa,El Condor Pasa,
6,Deck The Halls,Deck The Halls,Deck The Halls,Deck The Halls,Deck The Halls,Deck The Halls,Deck The Halls,Deck The Halls,Deck The Halls,Deck The Halls,Deck The Halls,Deck The Halls,Deck The Halls,Deck The Halls,Deck The Halls,
7,La Cumparsita,La Cumparsita,La Cumparsita,La Cumparsita,La Cumparsita,La Cumparsita,La Cumparsita,La Cumparsita,La Cumparsita,La Cumparsita,La Cumparsita,La Cumparsita,La Cumparsita,La Cumparsita,La Cumparsita,
8,Bandit Radio,Bandit Radio,Bandit Radio,Bandit Radio,Bandit Radio,Bandit Radio,Bandit Radio,Bandit Radio,Bandit Radio,Bandit Radio,Bandit Radio,Bandit Radio,Bandit Radio,Bandit Radio,Bandit Radio,
9,USSR National Anthem,USSR National Anthem,USSR National Anthem,USSR National Anthem,USSR National Anthem,USSR National Anthem,USSR National Anthem,USSR National Anthem,USSR National Anthem,USSR National Anthem,USSR National Anthem,USSR National Anthem,USSR National Anthem,USSR National Anthem,USSR National Anthem,
10,Murka,Murka,Murka,Murka,Murka,Murka,Murka,Murka,Murka,Murka,Murka,Murka,Murka,Murka,Murka,
11,Hungarian Sonata,Hungarian Sonata,Hungarian Sonata,Hungarian Sonata,Hungarian Sonata,Hungarian Sonata,Hungarian Sonata,Hungarian Sonata,Hungarian Sonata,Hungarian Sonata,Hungarian Sonata,Hungarian Sonata,Hungarian Sonata,Hungarian Sonata,Hungarian Sonata,
12,Primavera,Primavera,Primavera,Primavera,Primavera,Primavera,Primavera,Primavera,Primavera,Primavera,Primavera,Primavera,Primavera,Primavera,Primavera,
13,La Ronde des Lutins,La Ronde des Lutins,La Ronde des Lutins,La Ronde des Lutins,La Ronde des Lutins,La Ronde des Lutins,La Ronde des Lutins,La Ronde des Lutins,La Ronde des Lutins,La Ronde des Lutins,La Ronde des Lutins,La Ronde des Lutins,La Ronde des Lutins,La Ronde des Lutins,La Ronde des Lutins,
14,Csardas (Czardas),Csardas (Czardas),Csardas (Czardas),Csardas (Czardas),Csardas (Czardas),Csardas (Czardas),Csardas (Czardas),Csardas (Czardas),Csardas (Czardas),Csardas (Czardas),Csardas (Czardas),Csardas (Czardas),Csardas (Czardas),Csardas (Czardas),Csardas (Czardas),
15,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,Slavonic Dances Op.46 No.8,
16,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,Duo For Two Flutes WoO 26,
17,Four Seasons - Summer,Four Seasons - Summer,Four Seasons - Summer,Four Seasons - Summer,Four Seasons - Summer,Four Seasons - Summer,Four Seasons - Summer,Four Seasons - Summer,Four Seasons - Summer,Four Seasons - Summer,Four Seasons - Summer,Four Seasons - Summer,Four Seasons - Summer,Four Seasons - Summer,Four Seasons - Summer,
18,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,The Carnival of the Animals - Finale,
19,Mariage D'Amour,Mariage D'Amour,Mariage D'Amour,Mariage D'Amour,Mariage D'Amour,Mariage D'Amour,Mariage D'Amour,Mariage D'Amour,Mariage D'Amour,Mariage D'Amour,Mariage D'Amour,Mariage D'Amour,Mariage D'Amour,Mariage D'Amour,Mariage D'Amour,
20,Etude Op.740 No.50,Etude Op.740 No.50,Etude Op.740 No.50,Etude Op.740 No.50,Etude Op.740 No.50,Etude Op.740 No.50,Etude Op.740 No.50,Etude Op.740 No.50,Etude Op.740 No.50,Etude Op.740 No.50,Etude Op.740 No.50,Etude Op.740 No.50,Etude Op.740 No.50,Etude Op.740 No.50,Etude Op.740 No.50,
21,Humoresque Op.76 No.4,Humoresque Op.76 No.4,Humoresque Op.76 No.4,Humoresque Op.76 No.4,Humoresque Op.76 No.4,Humoresque Op.76 No.4,Humoresque Op.76 No.4,Humoresque Op.76 No.4,Humoresque Op.76 No.4,Humoresque Op.76 No.4,Humoresque Op.76 No.4,Humoresque Op.76 No.4,Humoresque Op.76 No.4,Humoresque Op.76 No.4,Humoresque Op.76 No.4,
22,Le Preux,Le Preux,Le Preux,Le Preux,Le Preux,Le Preux,Le Preux,Le Preux,Le Preux,Le Preux,Le Preux,Le Preux,Le Preux,Le Preux,Le Preux,
23,Csardas Macabre,Csardas Macabre,Csardas Macabre,Csardas Macabre,Csardas Macabre,Csardas Macabre,Csardas Macabre,Csardas Macabre,Csardas Macabre,Csardas Macabre,Csardas Macabre,Csardas Macabre,Csardas Macabre,Csardas Macabre,Csardas Macabre,
24,The Lark,The Lark,The Lark,The Lark,The Lark,The Lark,The Lark,The Lark,The Lark,The Lark,The Lark,The Lark,The Lark,The Lark,The Lark,
25,Waltz Op.39 No.10,Waltz Op.39 No.10,Waltz Op.39 No.10,Waltz Op.39 No.10,Waltz Op.39 No.10,Waltz Op.39 No.10,Waltz Op.39 No.10,Waltz Op.39 No.10,Waltz Op.39 No.10,Waltz Op.39 No.10,Waltz Op.39 No.10,Waltz Op.39 No.10,Waltz Op.39 No.10,Waltz Op.39 No.10,Waltz Op.39 No.10,
26,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,Slavonic Dances Op.72 No.1,
27,Virus,Virus,Virus,Virus,Virus,Virus,Virus,Virus,Virus,Virus,Virus,Virus,Virus,Virus,Virus,
28,La Follia,La Follia,La Follia,La Follia,La Follia,La Follia,La Follia,La Follia,La Follia,La Follia,La Follia,La Follia,La Follia,La Follia,La Follia,
29,Waltz Op.39 No.11,Waltz Op.39 No.11,Waltz Op.39 No.11,Waltz Op.39 No.11,Waltz Op.39 No.11,Waltz Op.39 No.11,Waltz Op.39 No.11,Waltz Op.39 No.11,Waltz Op.39 No.11,Waltz Op.39 No.11,Waltz Op.39 No.11,Waltz Op.39 No.11,Waltz Op.39 No.11,Waltz Op.39 No.11,Waltz Op.39 No.11,
