Id,Mid,Type,Lock,NeedLv,NeedGold,NeedDiamond,NeedCrow,Musiclevel,RewarID,LocalMusicVer,Recommend,MusicCard,MusicTime,HomeOrder,VipMusicVersion,FavoriteRate,Playmark,VipCn,Stylelabel,Fallingrate,TID,GoldenSong
序号,唯一标识,歌曲类型:1=等级 2=购买 3=竞技场 10=班级歌曲 15=FB 16=流行,解锁方式 1等级 2金币 13钻石 14VIP 15FB 16视频,所需等级,解锁需花费金币,解锁需要钻石数,解锁所需星冠,X=（难度系数-60）/40,关卡100X 购买200X,判断是否为最新歌曲,推荐歌曲,对应头部卡片,歌曲生效时间戳,Home页排序,VIP歌曲期数,热门指数,玩法备注：1黑块2长条3双黑4狂戳5滑块,国内版VIP处理,风格备注：1民谣 2奏鸣曲 3练习曲  4艺术歌曲 5夜曲 6进行曲 7舞曲 8探戈歌曲 9钢琴小品  10交响曲 11变奏曲 12小奏鸣曲 13小夜曲 14回旋曲 15拉格泰姆  16歌剧序曲 17创意曲 18幽默曲 19组曲 20未知 21即兴曲 22管弦乐曲 23协奏曲 24狂想曲 25赋格 26前奏曲 27歌剧选段  28浪漫曲 29重奏曲  30大提琴组曲 31小佐达坎  32中国乐曲  33沉思曲 34安魂曲  35托卡塔 36梦幻曲   37间奏曲 38宗教歌曲 39康塔塔  40帕蒂塔 41随想曲 42沉重  43急促 44欢快 45活泼 46抒情 47中性 48忧伤  49明亮 50热烈 51清新,备注：X表示试玩片段降速的百分比，0表示试玩片段不降速,,首页歌曲推荐标记（1 有效）
1,100001,1,2,,,0,,0,2007,,,1,,,,,,,,,,
2,110041,1,2,,,0,,0,2007,,,1,,,,,,,,,,
3,110042,1,2,,,0,,0,2007,,,1,,,,,,,,,,
4,110019,1,2,,,0,,0,2007,,,1,,,,,,,,,,
5,106005,1,2,,,0,,0,2007,,,1,,,,,,,,,,
6,110043,1,2,,,0,,0,2007,,,2,,,,,,,,,,
7,110045,1,2,,,0,,0,2007,,,2,,,,,,,,,,
8,110037,1,2,,,0,,0,2007,,,2,,,,,,,,,,
9,105011,1,2,,,0,,0,2007,,,2,,,,,,,,,,
10,110028,1,2,,,0,,0,2007,,,3,,,,,,,,,,
11,110002,1,2,,,0,,0,2007,,,2,,,,,,,,,,
12,110015,1,2,,,0,,0,2007,,,2,,,,,,,,,,
13,110025,1,2,,,0,,0,2007,,,3,,,,,,,,,,
14,105006,1,2,,,0,,0,2007,,,3,,,,,,,,,,
15,110033,1,2,,,0,,0,2007,,,3,,,,,,,,,,
16,110023,1,2,,,0,,0,2007,,,4,,,,,,,,,,
17,110014,1,2,,,0,,0,2007,,,4,,,,,,,,,,
18,110040,1,2,,,0,,0,2007,,,3,,,,,,,,,,
19,110001,1,2,,,0,,0,2007,,,3,,,,,,,,,,
20,110039,1,2,,,0,,0,2007,,,6,,,,,,,,,,
21,110036,1,2,,,0,,0,2007,,,4,,,,,,,,,,
22,110018,1,2,,,0,,0,2007,,,6,,,,,,,,,,
23,110004,1,2,,,0,,0,2007,,,6,,,,,,,,,,
24,110029,1,2,,,0,,0,2007,,,5,,,,,,,,,,
25,110034,1,2,,,0,,0,2007,,,4,,,,,,,,,,
26,110038,1,2,,,0,,0,2007,,,5,,,,,,,,,,
27,110003,1,2,,,0,,0,2007,,,5,,,,,,,,,,
28,110031,1,2,,,0,,0,2007,,,4,,,,,,,,,,
29,110035,1,2,,,0,,0,2007,,,4,,,,,,,,,,
30,110032,1,2,,,0,,0,2007,,,7,,,,,,,,,,
31,110013,1,2,,,0,,0,2007,,,6,,,,,,,,,,
32,110017,1,2,,,0,,0,2007,,,5,,,,,,,,,,
33,110030,1,2,,,0,,0,2007,,,6,,,,,,,,,,
34,110005,1,2,,,0,,0,2007,,,6,,,,,,,,,,
35,110026,1,2,,,0,,0,2007,,,6,,,,,,,,,,
36,110008,1,2,,,0,,0,2007,,,6,,,,,,,,,,
37,110009,1,2,,,0,,0,2007,,,6,,,,,,,,,,
38,110027,1,2,,,0,,0,2007,,,6,,,,,,,,,,
39,105007,1,2,,,0,,0,2007,,,6,,,,,,,,,,
40,110006,1,2,,,0,,0,2007,,,6,,,,,,,,,,
41,110044,1,2,,,0,,0,2007,,,6,,,,,,,,,,
42,110016,1,2,,,0,,0,2007,,,6,,,,,,,,,,
43,110022,1,2,,,0,,0,2007,,,7,,,,,,,,,,
44,105010,1,2,,,0,,0,2007,,,7,,,,,,,,,,
45,110010,1,2,,,0,,0,2007,,,7,,,,,,,,,,
46,110011,1,2,,,0,,0,2007,,,7,,,,,,,,,,
47,110024,1,2,,,0,,0,2007,,,7,,,,,,,,,,
48,110021,1,2,,,0,,0,2007,,,8,,,,,,,,,,
49,106008,1,2,,,0,,0,2007,,,8,,,,,,,,,,
50,110012,1,2,,,0,,0,2007,,,8,,,,,,,,,,
51,110051,1,2,,,0,,0,2007,5,,1,,,,,,,,,,
52,110052,1,2,,,0,,0,2007,5,,1,,,,,,,,,,
53,110053,1,2,,,0,,0,2007,5,,4,,,,,,,,,,
54,110055,1,2,,,0,,0,2007,5,,5,,,,,,,,,,
55,110054,1,2,,,0,,0,2007,5,,6,,,,,,,,,,
56,110057,1,2,,,0,,0,2007,5,,8,,,,,,,,,,
57,110056,1,2,,,0,,0,2007,5,,9,,,,,,,,,,
58,111001,1,2,,,1,,0,2007,,,9,,,,,,,,,,
59,111111,1,2,,,0,,0,2007,,,9,,,,,,,,,,
60,110075,1,2,,,0,,0,2007,,,9,,,,,,,,,,
61,111100,1,2,,,0,,0,2007,,,9,,,,,,,,,,
62,111101,1,2,,,0,,0,2007,,,9,,,,,,,,,,
63,111102,1,2,,,0,,0,2007,,,9,,,,,,,,,,
64,111096,1,2,,,0,,0,2007,,,9,,,,,,,,,,
65,119997,1,2,,,0,,0,2007,,,9,,,,,,,,,,
66,119998,1,2,,,0,,0,2007,,,9,,,,,,,,,,
67,119999,1,2,,,0,,0,2007,,,9,,,,,,,,,,
68,119996,1,2,,,0,,0,2007,,,9,,,,,,,,,,
69,150000,1,2,,,0,,0,2007,,,9,,,,,,,,,,
70,151000,1,2,,,0,,0,2007,,,9,,,,,,,,,,
71,151001,1,2,,,0,,0,2007,,,3,,,,,,,,,,
72,500001,1,2,,,0,,0,2007,,,8,,,,,,,,,,
73,500002,1,2,,,0,,0,2007,,,9,,,,,,,,,,
74,500003,1,2,,,0,,0,2007,,,4,,,,,,,,,,
75,500004,1,2,,,0,,0,2007,,,9,,,,,,,,,,
