Id,Mid,BPM,,,MusicJson,Musician,Acceleration,AniID,BridgeAniID
音乐ID[int],,,基础音符,难度系数,音乐JSON文件[string],音乐家,竞技场加速度,特效索引,过渡特效索引
101,100001,40,0.25,160,Canon in A,Johann Pachelbel,,1024001,2048001
102,100001,42.5,0.25,170,Canon in A,,,1024002,2048002
103,100001,45,0.25,180,Canon in A,,,1024008,
201,110041,40,0.25,160,Canon in B,Johann Pachelbel,,,
202,110041,42.5,0.25,170,Canon in B,,,,
203,110041,45,0.25,180,Canon in B,,,,
301,110042,40,0.25,160,Canon in C,Johann Pachelbel,,,
302,110042,42.5,0.25,170,Canon in C,,,,
303,110042,45,0.25,180,Canon in C,,,,
401,110019,45,0.25,180,Comptine d'un autre ete,Yann Tiersen,,,
402,110019,45,0.25,180,Comptine d'un autre ete,,,,
403,110019,45,0.25,180,Comptine d'un autre ete,,,,
501,106005,49,0.25,196,El Condor Pasa,Daniel Alomia Robles,,,
502,106005,49,0.25,196,El Condor Pasa,,,,
503,106005,49,0.25,196,El Condor Pasa,,,,
601,110043,60,0.25,240,Deck The Halls,Thomas Oliphant,,,
602,110043,60,0.25,240,Deck The Halls,,,,
603,110043,60,0.25,240,Deck The Halls,,,,
701,110045,120,0.5,240,La Cumparsita,Gerardo Matos Rodriguez,,,
702,110045,120,0.5,240,La Cumparsita,,,,
703,110045,120,0.5,240,La Cumparsita,,,,
801,110037,60,0.25,240,Bandit Radio,S.T.A.L.K.E.R. Clear Sky,,,
802,110037,60,0.25,240,Bandit Radio,,,,
803,110037,60,0.25,240,Bandit Radio,,,,
901,105011,69,0.25,276,USSR National Anthem,Aleksandr Vasilyevich Aleksandrov,,,
902,105011,69,0.25,276,USSR National Anthem,,,,
903,105011,69,0.25,276,USSR National Anthem,,,,
1001,110028,65,0.25,260,Murka,Arranged by Slava Makovsky,,,
1002,110028,67.5,0.25,270,Murka,,,,
1003,110028,70,0.25,280,Murka,,,,
1101,110002,135,0.5,270,Hungarian Sonata,Paul de Senneville,,,
1102,110002,135,0.5,270,Hungarian Sonata,,,,
1103,110002,140,0.5,280,Hungarian Sonata,,,,
1201,110015,68,0.25,272,Primavera,Ludovico Einaudi,,,
1202,110015,68,0.25,272,Primavera,,,,
1203,110015,70,0.25,280,Primavera,,,,
1301,110025,72.5,0.25,290,La Ronde des Lutins,Antonio Bazzini,,,
1302,110025,73,0.25,292,La Ronde des Lutins,,,,
1303,110025,73.5,0.25,294,La Ronde des Lutins,,,,
1401,105006,65,0.25,260,Csardas (Czardas),Vittorio Monti,,,
1402,105006,70,0.25,280,Csardas (Czardas),,,,
1403,105006,75,0.25,300,Csardas (Czardas),,,,
1501,110033,76,0.25,304,Duo For Two Flutes WoO 26,Ludwig van Beethoven,,,
1502,110033,77,0.25,308,Duo For Two Flutes WoO 26,,,,
1503,110033,78,0.25,312,Duo For Two Flutes WoO 26,,,,
1601,110023,77,0.25,308,Four Seasons - Summer,Antonio Vivaldi,,,
1602,110023,78,0.25,312,Four Seasons - Summer,,,,
1603,110023,80,0.25,320,Four Seasons - Summer,,,,
